description,Name,Number with MA or mA,Major Arcana or Minor Arcana,Suit of Cards,Image,Fortune,Key Words Upright,Key words Reversed,Upright Meaning,Reverse Meaning,Archetype,"tarot cards and basic information about them, as well as references to corresp.9",Numerology,Elements and Planets,Mythical ,Questions to ask ,,
cards,Wheel of Fortune,10,Major Arcana,Trump,m10.jpg,"Some events are in the hands of heaven, You've lived through this before, What happened then?","Luck, Randomness, Cycles, Karma, Fate, Revolution, Change, Decisive moments, Fortune, Unexpected events, Navigating changes, Making adjustments, Adaptation, Being flexible with finances, Material change","Bad luck, Lack of control, Clining onto power and control, Unwelcome changes, Delays, External events affecting relationships,Out of control life, Failure to adapt to work, Forcing past solutions, Preparation","Allowing events to unfold, Seeing the larger pattern in everyday events, Trusting your luck, Watching for cycles, Believing that ""what goes around, comes around""","Losing money gambling, Refusing to do your part to bring a plan to fruition, Taking a fatalistic approach to life, Fighting the natural course of events",The Fates/Destiny,Koph/Palm/20,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",Fire / Jupiter,"The God in the Machine. Deus ex Machina. Clotho, Lachesis, and Atropos. Fortuna.","How does this challenge fit into a larger pattern?,What role does luck play in my circumstances?,What can I control? How should I know when to relinquish control?",,
cards,Justice,11,Major Arcana,Trump,m11.jpg,"If you have been wronged, you will recieve relief. If your actions have done wrong, this is your warning. A legal verdict will be rendered soon, Someone is making a decision, You need to get the facts","Balance, Law, Fairness, Objectivity, Justice, Karma,  Consequences, Accountability, Truth, Honesty, Integrity, Cause and Effect, Reward, Compromise and fair treatment","Injustice, Retribution, ishonesty, Corruption, Dishonesty, Unfairness, Avoiding accountability, Blaming someone unfairly, ","Making an objective decision, Weighing an issue carefully before taking action, Appropriately scaling your reaction to a situation, Getting all the facts, Considering evidence, Deliberating","Delivering harsh criticism, Obsessing on rules and regulations, Playing by the book even when it is destructive or counterproductive to do so, Confusing snap decisions with timely action, Playing favorites",The Id,Theth/Snake/9 or Lamed/Outstretched Arms/30,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",Leo or Libra / Air,Samson. Hercules. Daniel in the lion's den. The sinless Christ.,"How can I enhance my self-discipline?,What behaviors tempt me? How can I resist?,What instincts do I continue to struggle with today?",,
cards,The Hanged Man,12,Major Arcana,Trump,m12.jpg,"Suspend a particular action, A traitor is revealed, One of your friends is working against you, Change your ways or suffer the consequences","Enlightenment, Sacrifice, Perspective, Suspension, Reversals, Waiting, Uncertainty, Lack of direction, Contemplation,  Don't rush, Avoid pressure (romanic), Forced break in career, Think about the next steps, ","Stalling, Disinterest, Stagnation, Avoiding sacrifice, Apathy, Disinterest, New perspectives in love and work, Career move not working, Failed investment, Procrastination, Indecision, ","Seeing growth opportunities in unpleasant events, Experiencing a dramatic change in personal perspective, Making the best of an unforeseen change in your life or work, Suspending disbelief, Making sacrifices","Being untrue to yourself and your values, Refusing to make sacrifices when appropriate, Refusing to adapt to new situations, Blaming others, Profiting at the expense of others",The Traitor,Mem/Water/40,"12 = 1 + 2 = 3 (expression, productivity, output)",Water / Neptune,The Crucified Christ. Isaac as a sacrifice. Prometheus bound. Jonah and the whale. Lazarus. Any hanged or sacrificed god. Judas.,"How can I radically alter my perspective?,How might being stuck actually be a blessing in disguise?,How can I help myself see the glass as half full?",,
cards,Death,13,Major Arcana,Trump,m13.jpg,"A cycle ends for a new cycle to begin, An old version of you needs to die for a new to begin,  A relationship or illness ends suddenly, Limit travel and risk-taking, ","Ending, Conclusion, Transition, Passage, Departure, Change, Letting go, Release, Career transition, Adapting to financial loss, Metamorphosis","Fear of change, Repeating negative patterns, Not learning lessons, Resisting change, Stagnancy, Decay,  Lack of growth, Continuing unhealthy habits (health or financial) , Holding on and not letting go","Bringing an unpleasant phase of life to an end, Recognizing and celebrating the conclusion of something, Putting bad habits to rest, Becoming a new person, Leaving one person, place, or thing for another, Letting go","Obsessing on death and dying, Refusing to give up old habits or unhealthy relationships, Insisting that everything and everyone should stay the same forever, Failing to take good care of yourself",Death,Nun/Fish/50,"13 = 1 + 3 = 4 (stability, persistence)",Scorpio / Water,Christ in the tomb. Hades. Hypnos. Thanatos. Stories of journeys into the underworld.,"What needs to end?,How might an ending actually be a blessing in this situation?,What's next?",,
cards,Temperance,14,Major Arcana,Trump,m14.jpg,"Moderation and Balance, you need a lot of patience, Someone's using drugs or alcohol to excess, It's time to get back on that diet","Blending, Synthesis, Mediation, Combination, Harmony, Peace, Patience, Calm, Tranquility, Serentiy, Consideration, Careful, Success from patience, Save money, ","Imbalance, Excess, Extremes, Discord, Recklessness, Hastiness, All or nothing romances, Impatience, Work-life imbalance, Rushed , Short-term happiness","Bringing opposites together, Moderating your actions or emotions, Finding middle ground, Reaching compromises, Synthesizing solutions that please everyone involved, Using the old to make something new","Going to extremes, Disrupting group efforts, Ignoring healthy approaches to life, Becoming an addict, Practicing gluttony, Tearing something or someone apart, Breaking alliances",The Mediator,Samekh/Foundation/60,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",Sagittarius / Fire ,"The angel seen here may be the goddess Iris. By extension, priests, priesthoods, or the transfigured Christ.","How can I avoid extremes?,What does everyone involved have in common?,How might combining familiar things help me create something new?",,
cards,The Devil,15,Major Arcana,Trump,m15.jpg,"Addiction is repressed powerlessness, Adultery and unfaithfulness, A string of extremely bad luck is coming your way, Beware evil influences and wolves in sheep's clothing","shadow, materialism, bondage, oppression, addiction, obsession, excess, dependency, powerlessness, limitations, delusion, lust, selfish disregard for partner, feeling trapped, self-sabotage","independence, freedome, revelation, release, reclaiming power, reclaiming control, ending co-dependency, more accountbility in career, feeling empowered, financial independance","Appreciating the luxuries that life has to offer, Being comfortable in your own skin, Enjoying your sexuality, Splurging on an expensive personal item, Embracing the fact that everyone has a darker side, Dealing with unhealthy impulses in healthy ways","Putting excessive emphasis on appearances, Always wanting more, Valuing possessions more than people or relationships, Allowing base instincts to govern your life, Being selfishAttributing your own dark impulses to outside forces or other people","The Shadow, The Other",Ayin/Eye/70,"15 = 1 + 5 = 6 (adjustment, collaboration)",Capricorn / Earth,"The Biblical Satan, certainly. Fallen angels, including Lucifer. Bacchus and Pan. Tempters and serpents of every stripe.","What enslaves me? How can I set myself free?,How can I re-evaluate the importance I assign to material things?,To what extent do my cravings define me?",,
cards,The Tower,16,Major Arcana,Trump,m16.jpg,"The old way are no longer useful. Impending disaster, Cancel plans and reverse decisions, Someone wants to take you down a notch or two, Don't hold back; say what you really mean","demolition, upheaval, deconstruction, disaster, destruction, trauma, sudden change, chaos, breakup, foundational shift in view, sudden job loss, wake up call","averting disaster,  delaying the inevitable, resisting change, making adjustments , leaving a weak relationship, aviding risks in career, repeating financial troubles, ","Breaking out of old, confining habits and mindsets, Clearing the way for new growth, Dispelling the influence of an inflated ego, Getting back to basics, Stripping away harmful illusions, Receiving sudden insight","Clinging to traditions that repress growth, Engaging in willful blindness, Rejecting evidence that change is needed, Ignoring guidance from a higher power, Maliciously engaging in destructive behavior",The Shattered Ego,Pe[as]/Open Mouth/80,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",Fire / Mars,The Tower of Babel. The destruction of Sodom and Gomorrah. Shiva's destructive dance. The lightning of Zeus and Thor.,"How might the current situation dramatically alter my perspective?,How might this loss open the door for new growth?,What attitudes need to be struck down before I proceed?",,
cards,The Star,17,Major Arcana,Trump,m17.jpg,"Have faith, the unverse will bless you and bring forth what you need. Get an astrology chart drawn up, Someone is a little too starstruck, What's happening now has long been fore-ordained","hope, optimism, inspiration, positivity, healing, rejuvination, renewal, openness, certainty, faith, longing, truth","hopelessness, despair, negativity, lack of faith, despondent, extreme self criticism, lack of confidence in love, pessismism, ","Hoping for the best, Believing good things happen to good people, Seeing events in the best possible light, Adopting a generous spirit, Seeking guidance from above, Embracing possibility over probability","Denying unpleasant truths, Denying personal accountability and saying, ""Things just happen!"", Ignoring signs and omens, Preferring illusion to reality, Spreading pessimism and stinginess of spirit",The Heavenly Guide,"Tzaddi/Fishhook/90 or, in some decks, He[as]/Window/5","17 = 1 + 7 = 8 (action, movement, swiftness)",Aquarius / Air,The star that guided the Magi. Aphrodite. Venus. The Pleiades. Moses bringing forth water from the rock.,"What would my higher power direct me to do?,How can I be less self-conscious and guarded?,How can I better attune myself to the abundance of life's blessings?",,
cards,The Moon,18,Major Arcana,Trump,m18.jpg,"Clarity and understanding, Let your intuition guide you through this, Watch for problems at the end of the month, Someone you know needs to howl at the moon more often, Someone is about to change his or her mind about an important decision","mystery, fantasy, imagination, dreams, uncertainty, illusion, intuition, confusion, complexity, secrets, unconcious, ","fear, decpetion, anxiety, misunderstanding, misinterpretation, claroty, understanding, sabotage, trickery , ","Enjoying healthy fantasies and daydreams, Using your imagination, Practicing magic or celebrating the magic of everyday life, Attuning yourself to the cycles of nature, Embracing the unknown","Becoming unable to separate fantasy from reality, Suffering from delusions, Losing your appreciation for the fantastic or magical, Adopting a ruthlessly logical mindset, Failing to appreciate life's mysteries",The Holy Feminine/The Crone,Koph/Back of the Head/100,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",Pisces / Water ,"Kali, the dark-skinned divine mother associated with time, the eternal night, and the female principle. Hecate, goddess of night and darkness, who, like Anubis, assists others in their travels to the underworld. ","How can I face my fears and move forward?,What helpers can serve me as guides through my personal darkness?,How can I deal with the unknown in healthy ways?",,
cards,The Sun,19,Major Arcana,Trump,m19.jpg,"Everything's coming up roses (or sunflowers, whatever the case may be), Whatever's on your mind, go for it because you can't lose today, sense of deserved confidence, go for that promotion","vitality, joy, brilliance, validation, attention, happiness, success, optimism, confidence, truth, energy, celebration, strong financial situation","blocked happiness, excessive enthusiasm, pessismism,  unrealistic expectations, coceitedness, hardships are temporary, ","Seeing things clearly, Experiencing intense joy, Celebrating your own successes, Knowing you're good at what you do, Gaining recognition for your personal genius","Being dazzled by your own accomplishments, Becoming absorbed in your own self-image, Feeling rushed and distracted, Exerting yourself to the point of exhaustion, Overstating your abilities or misrepresenting your achievements, being unable to see the happiness in love and achievements",The Holy Masculine,Resh/Head/200,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",Fire / The Sun,"God the Father. Sun gods, including Ra, Apollo, and Helios. The moment of baptism. Claiming a new faith as your own.","How can I take best advantage of the attention coming my way?,What are my highest spiritual goals?,How can I avoid being bedazzled by the energy swirling around me?",,
cards,Judgement,20,Major Arcana,Trump,m20.jpg,"An old issue you thought was over will come up again today, Get ready for huge changes: break-ups, sudden calls from old friends, and unexpected setbacks, God's trying to get your attention","revival, renewal, resurrection, evaluation, invitation, self-evaluatipn, awakening, purpose, making necessary adjustments, reflection on values and habits","self doubt, lack of self awareness, failure to learn lessons, self-loathing, blaming your partner, self-denying, failure to take responsibility,","Receiving a wake-up call, Discovering a new purpose in life ,Becoming totally and completely yourself, Receiving a well-deserved reward, Passing an evaluation or examination, Welcoming the start of a new phase of life","Being weighed in the balances and found wanting, Stop being so critical,  Failing to measure up to a well-defined standard, Being caught goofing off or misbehaving, Failing to prepare for an examination you know is coming, Rejecting an opportunity to reinvent yourself",Resurrection,Sin/Tooth/300,"20 = 2 + 0 = 2 (division, duality)",Fire/ Pluto,"The resurrected Christ. The Last Judgment of Revelation. The phoenix, which rises to new life from its own ashes.","What is the main thing I need to realize about myself?,In what way might the universe be trying to get my attention?,If I were to reinvent myself, what would I become?",,
cards,The World,21,Major Arcana,Trump,m21.jpg,"Winning the lottery,Getting your heart's desire,Having everything you ever imagined having","wholeness, integration, harmony, fullfillment , acheivements, totality, completeness, sense of belonging, fullness","A lover is getting restless, Find out what he or she needs, or new opportunities may lure your partner away","Having it all, Knowing and loving yourself as completely as possible, fulfilling romantic, Seeing the interconnection of all things and people, Enhancing your perspective, Living life to its fullest, Understanding the meaning of life","Allowing greed and envy to prevent you from enjoying what you do possess,Failing to see the larger design in ordinary events, Believing that everything that exists can be touched, counted, or measured, Failing to see the divine reflected in those around you",Enlightenment,Tau/Cross/400,"21 = 2 + 1 = 3 (expression, result)",Earth/ Saturn,The ascended Christ. The Buddha attaining enlightenment. The alpha and the omega. The completion of the alchemist's great work.,"For me, what would having it all mean?,How aware am I of my own connectedness to the world around me?,What keeps me from having it all right now, today?",,
cards,Ace of Cups,1,Minor Arcana,Cups,c01.jpg,"Romance is in the cards, A new relationship or marriage is just around the corner, Prayers are answered","intuition,spirituality,affection,motivation",,"Trusting your feelings, Opening yourself to spirit, Accepting and returning affection, Getting in touch with what motivates you, Taking advantage of an opportunity to express love to others, Listening to the still, small voice","Hiding your feelings, Spurning an opportunity to love or be loved, Numbing yourself to spiritual yearnings, Rejecting the counsel of your heart, Becoming a puppet of your own emotions, Indulging in hysteria or obsession",,,"1 (The Origin: the starting point, the seed, opportunity)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"What am I feeling right now?,How would I go about opening myself to spiritual guidance?,What motivates me the most - pleasure or pain? Why?",,
cards,Two of Cups,2,Minor Arcana,Cups,c02.jpg,"Someone has a secret crush on you,Relationships should be mutual; get rid of a leech","union,attraction,combination,affection",,"Being drawn to someone,Longing for someone or something,Acting on your desires,Discovering a feeling is mutual,Doing what makes you feel good,Merging,Healing broken ties,Admitting two people feel differently about each other and moving on","Burning bridges,Becoming caught up in unhealthy codependency, Shutting out anyone but your chosen few, Obsessing on someone who does not return your affections, Despairing over finding ""The One""Deceiving yourself about your true orientation",,,"2 (The Other: duality, division, debate)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"How can I make sure that what I'm feeling is mutual?"",""When was the last time I felt ""in love"" with someone or something?,What do you need in order to feel emotionally stable?",,
cards,Three of Cups,3,Minor Arcana,Cups,c03.jpg,Unconventional romance is coming your way: a love affair with someone you've always dismissed,"celebration,expression,community,friendliness",,"Celebrating your feelings or connections with others, Expressing joy through song, dance, or physical affection, Working together with others who share your feelings, Performing acts of service as a way of saying, ""I love you"", Embracing unconventional romantic arrangements","Mistaking giddiness for true affection, Being dominated by manic emotions, Expecting everyone to always feel the same way you do, Demanding unreasonable support from friends or family, Partying to a dangerous or unhealthy extent",,,"3 (The Result: expression, productivity, output)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"What's worth celebrating in my life?,How can I demonstrate my feelings in appropriate ways?,What can I do to show my partner how I really feel?",,
cards,Four of Cups,4,Minor Arcana,Cups,c04.jpg,"A lover is getting restless, Find out what he or she needs, or new opportunities may lure your partner away","boredom,listlessness,lethargy,stability,ingratitude",,"Maintaining your emotional stability,Refusing to give in to overwhelming emotions,Appreciating what you have and refusing to take it for granted,Seeing the value of long-term commitments","Being bored, Daydreaming at the expense of your work, Refusing to be engaged by opportunity, Taking people and relationships for grantedIgnoring romantic or spiritual opportunities, Spurning inspiration, Feeling everything should stay ""just like it is""",,,"4 (The Status Quo: stability, equality, persistence)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"How can I use this ""downtime"" to my best advantage?,How can I show my partner that I don't take him or her for granted?,To what extent is my mood blinding me to new opportunities?",,
cards,Five of Cups,5,Minor Arcana,Cups,c05.jpg,"A breakup looms, Don't cry over spilt milk, Take your lumps and get back in the saddle","loss,despair,re-evaluation,regret,uncertainty,repentance",,"Acknowledging loss and moving on,Focusing on how the glass remains ""half-full"",Finding the silver lining in a dark cloud,Recognizing that loss is a natural part of life,Embracing healthy grief,Learning lessons from harsh consequences","Wallowing in unhealthy grief or self-pity Refusing to move on and let go, Clinging to the past, Obsessing on past lives and past loves, Failing to live in the presentBeating yourself up over past mistakes, Allowing fear of failure to limit your efforts",,,"5 (The Catalyst: instability, resistance, confrontation)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"How do I tend to deal with loss?,What life lesson might I be learning now?,How can I shift my attention from the past to the future?",,
cards,Six of Cups,6,Minor Arcana,Cups,c06.jpg,"A stingy spirit is strangling your enjoyment of life, Loosen up and think of others for once, why don't you?","charity,sharing,sacrifice,cooperation,fairness",,"Donating your time and talents to others,Taking satisfaction in knowing how your efforts will aid others,Creating a ""win-win"" scenario,Giving even when you know repayment is not possible,Being motivated to do a good deed","Linking your sense of self-worth to the appraisals of others, Striving to appear more needy than you really are, Taking undeserved or unmerited charity, Bragging about your charitable efforts, Profiteering in times of distress, Refusing to share a burden",,,"6 (The Adjustment: cooperation, collaboration, interaction)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"What gifts do I possess? How freely do I give them?,How can I practice unconditional giving?,How would things change if I became a more charitable person?",,
cards,Seven of Cups,7,Minor Arcana,Cups,c07.jpg,"You're being fed a line, Rather than be dazzled by fancy words and promises, demand something real","imagination,dreams,illusions,goals",,"Motivating yourself with images of future success,Using visualization to encourage progress,Taking an imaginative or creative approach to problem solving,Making dreams come true,Gleaning insight from personal visions","Obsessing on imaginary fears or uncertain consequences, Giving in to emotional or political terrorism, Spending more time dreaming than working, Failing to envision the possible repercussions of your choices, Being controlled by fear",,,"7 (The Motive: imagination, inner work, psychology)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"What do you want most? What do you fear most? How are these related?,How is your imagination working for you? Against you?,How might a clearer personal vision help you choose a single cup from the many available?",,
